dataset,method,round,phase,existing_id,existing_ood,newcomer_id,newcomer_ood
cifar10,FedAS,7,phase1,0.75366667,0.0,,
cifar10,FedAS,8,phase1,0.76216667,0.0,,
cifar10,FedAS,9,phase1,0.75866667,0.0,,
cifar10,FedAS,10,phase1,0.765,0.0,,
cifar10,FedAS,11,phase1,0.76666667,0.0,,
cifar10,FedAS,12,phase1,0.76916667,0.0,,
cifar10,FedAS,13,phase1,0.77516667,0.0,,
cifar10,FedAS,14,phase1,0.78016667,0.0,,
cifar10,FedAS,15,phase1,0.78183333,0.0,,
cifar10,FedAS,16,phase1,0.782,0.0,,
cifar10,FedAS,17,phase1,0.78533333,0.0,,
cifar10,FedAS,18,phase1,0.78033333,0.0,,
cifar10,FedAS,19,phase1,0.78116667,0.0,,
cifar10,FedAS,20,phase1,0.78816667,0.0,,
cifar10,FedAS,21,phase1,0.78916667,0.0,,
cifar10,FedAS,22,phase1,0.792,0.0,,
cifar10,FedAS,23,phase1,0.79366667,0.0,,
cifar10,FedAS,24,phase1,0.79216667,0.0,,
cifar10,FedAS,25,phase1,0.788,0.0,,
cifar10,FedAS,26,phase1,0.79083333,0.0,,
cifar10,FedAS,27,phase1,0.79233333,0.0,,
cifar10,FedAS,28,phase1,0.785,0.0,,
cifar10,FedAS,29,phase1,0.79583333,0.0,,
cifar10,FedAS,30,phase1,0.78966667,0.0,,
cifar10,FedAS,31,phase1,0.78633333,0.0,,
cifar10,FedAS,32,phase1,0.78283333,0.0,,
cifar10,FedAS,33,phase1,0.80016667,0.0,,
cifar10,FedAS,34,phase1,0.788,0.0,,
cifar10,FedAS,35,phase1,0.79716667,0.0,,
cifar10,FedAS,36,phase1,0.78633333,0.0,,
cifar10,FedAS,37,phase1,0.79916667,0.0,,
cifar10,FedAS,38,phase1,0.7955,0.0,,
cifar10,FedAS,39,phase1,0.80183333,0.0,,
cifar10,FedAS,40,phase1,0.798,0.0,,
cifar10,FedAS,41,phase1,0.796,0.0,,
cifar10,FedAS,42,phase1,0.78633333,0.0,,
cifar10,FedAS,43,phase1,0.78633333,0.0,,
cifar10,FedAS,44,phase1,0.79866667,0.0,,
cifar10,FedAS,45,phase1,0.79916667,0.0,,
cifar10,FedAS,46,phase1,0.80116667,0.0,,
cifar10,FedAS,47,phase1,0.80333333,0.0,,
cifar10,FedAS,48,phase1,0.80516667,0.0,,
cifar10,FedAS,49,phase1,0.79116667,0.0,,
cifar10,FedAS,50,phase1,0.788,0.0,,
cifar10,FedAS,51,phase2,0.80183333,0.0,0.0,0.125
cifar10,FedAS,52,phase2,0.80783333,0.0,0.71,0.0
cifar10,FedAS,53,phase2,0.797,0.0,0.73625,0.0
cifar10,FedAS,54,phase2,0.7975,0.0,0.7425,0.0
cifar10,FedAS,55,phase2,0.801,0.0,0.74725,0.0
cifar10,FedAS,56,phase2,0.80366667,0.0,0.73725,0.0
cifar10,FedAS,57,phase2,0.81216667,0.0,0.75175,0.0
cifar10,FedAS,58,phase2,0.81,0.0,0.742,0.0
cifar10,FedAS,59,phase2,0.8095,0.0,0.75025,0.0
cifar10,FedAS,60,phase2,0.8065,0.0,0.7565,0.0
cifar10,FedAS,61,phase2,0.793,0.0,0.7495,0.0
cifar10,FedAS,62,phase2,0.81166667,0.0,0.75125,0.0
cifar10,FedAS,63,phase2,0.80666667,0.0,0.75125,0.0
cifar10,FedAS,64,phase2,0.79766667,0.0,0.76025,0.0
cifar10,FedAS,65,phase2,0.79766667,0.0,0.763,0.0
cifar10,FedAS,66,phase2,0.81233333,0.0,0.76375,0.0
cifar10,FedAS,67,phase2,0.81083333,0.0,0.75625,0.0
cifar10,FedAS,68,phase2,0.81316667,0.0,0.76575,0.0
cifar10,FedAS,69,phase2,0.81116667,0.0,0.76875,0.0
cifar10,FedAS,70,phase2,0.814,0.0,0.746,0.0
cifar10,FedAS,71,phase2,0.81133333,0.0,0.76625,0.0
cifar10,FedAS,72,phase2,0.8185,0.0,0.758,0.0
cifar10,FedAS,73,phase2,0.81683333,0.0,0.7685,0.0
cifar10,FedAS,74,phase2,0.823,0.0,0.77475,0.0
cifar10,FedAS,75,phase2,0.8165,0.0,0.776,0.0
cifar10,FedAS,76,phase2,0.8155,0.0,0.7695,0.0
cifar10,FedAS,77,phase2,0.808,0.0,0.77625,0.0
cifar10,FedAS,78,phase2,0.813,0.0,0.7825,0.0
cifar10,FedAS,79,phase2,0.81166667,0.0,0.78325,0.0
cifar10,FedAS,80,phase2,0.81483333,0.0,0.79175,0.0
cifar10,FedAS,81,phase2,0.80983333,0.0,0.77125,0.0
cifar10,FedAS,82,phase2,0.81183333,0.0,0.78975,0.0
cifar10,FedAS,83,phase2,0.80016667,0.0,0.7905,0.0
cifar10,FedAS,84,phase2,0.78633333,0.0,0.7955,0.0
cifar10,FedAS,85,phase2,0.811,0.0,0.78425,0.0
cifar10,FedAS,86,phase2,0.8135,0.0,0.79,0.0
cifar10,FedAS,87,phase2,0.80966667,0.0,0.784,0.0
cifar10,FedAS,88,phase2,0.81183333,0.0,0.7965,0.0
cifar10,FedAS,89,phase2,0.8045,0.0,0.8015,0.0
cifar10,FedAS,90,phase2,0.82216667,0.0,0.80375,0.0
