dataset,method,rho,completed_runs,used_runs,required_round,total_mb_mean,total_mb_std,uplink_mb_mean,uplink_mb_std,downlink_mb_mean,downlink_mb_std,avg_round_total_mb_mean,avg_round_total_mb_std,sources
cifar10,FedMoE,0.0,1,1,101,392.190000,0.000000,196.090000,0.000000,196.090000,0.000000,3.883069,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedMoE\GM_VGG8\splitgp_rho0.0\NC_50\date_20260620\time_215357\acc.csv
cifar10,FedMoE,0.2,1,1,101,392.190000,0.000000,196.090000,0.000000,196.090000,0.000000,3.883069,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedMoE\GM_VGG8\splitgp_rho0.2\NC_50\date_20260621\time_084634\acc.csv
cifar10,FedProx,0.0,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedProx\GM_VGG8\splitgp_rho0.0\NC_50\date_20260609\time_010734\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedProx\GM_VGG8\splitgp_rho0.0\NC_50\date_20260614\time_125439\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedProx\GM_VGG8\splitgp_rho0.0\NC_50\date_20260616\time_091053\acc.csv
cifar10,FedProx,0.2,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedProx\GM_VGG8\splitgp_rho0.2\NC_50\date_20260609\time_040810\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedProx\GM_VGG8\splitgp_rho0.2\NC_50\date_20260614\time_141414\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedProx\GM_VGG8\splitgp_rho0.2\NC_50\date_20260616\time_091658\acc.csv
cifar10,FedProx,0.4,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedProx\GM_VGG8\splitgp_rho0.4\NC_50\date_20260609\time_051607\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedProx\GM_VGG8\splitgp_rho0.4\NC_50\date_20260616\time_091452\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedProx\GM_VGG8\splitgp_rho0.4\NC_50\date_20260616\time_091719\acc.csv
cifar10,FedProx,0.6,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedProx\GM_VGG8\splitgp_rho0.6\NC_50\date_20260609\time_055514\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedProx\GM_VGG8\splitgp_rho0.6\NC_50\date_20260616\time_100817\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedProx\GM_VGG8\splitgp_rho0.6\NC_50\date_20260616\time_101446\acc.csv
cifar10,FedProx,0.8,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedProx\GM_VGG8\splitgp_rho0.8\NC_50\date_20260609\time_111304\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedProx\GM_VGG8\splitgp_rho0.8\NC_50\date_20260616\time_101219\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedProx\GM_VGG8\splitgp_rho0.8\NC_50\date_20260616\time_101516\acc.csv
cifar10,PMOE_FedPer,0.0,3,3,101,392.190000,0.000000,196.090000,0.000000,196.090000,0.000000,3.883069,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\PMOE_FedPer\GM_VGG8\splitgp_rho0.0\NC_50\date_20260622\time_000241\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\PMOE_FedPer\GM_VGG8\splitgp_rho0.0\NC_50\date_20260622\time_010533\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\PMOE_FedPer\GM_VGG8\splitgp_rho0.0\NC_50\date_20260622\time_080832\acc.csv
cifar10,PMOE_FedPer,0.2,3,3,101,392.190000,0.000000,196.090000,0.000000,196.090000,0.000000,3.883069,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\PMOE_FedPer\GM_VGG8\splitgp_rho0.2\NC_50\date_20260622\time_005743\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\PMOE_FedPer\GM_VGG8\splitgp_rho0.2\NC_50\date_20260622\time_022303\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\PMOE_FedPer\GM_VGG8\splitgp_rho0.2\NC_50\date_20260622\time_083756\acc.csv
cifar10,PMOE_FedPer,0.4,3,3,101,392.190000,0.000000,196.090000,0.000000,196.090000,0.000000,3.883069,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\PMOE_FedPer\GM_VGG8\splitgp_rho0.4\NC_50\date_20260622\time_021216\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\PMOE_FedPer\GM_VGG8\splitgp_rho0.4\NC_50\date_20260622\time_034103\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\PMOE_FedPer\GM_VGG8\splitgp_rho0.4\NC_50\date_20260622\time_090718\acc.csv
cifar10,PMOE_FedPer,0.6,3,3,101,392.190000,0.000000,196.090000,0.000000,196.090000,0.000000,3.883069,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\PMOE_FedPer\GM_VGG8\splitgp_rho0.6\NC_50\date_20260622\time_033028\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\PMOE_FedPer\GM_VGG8\splitgp_rho0.6\NC_50\date_20260622\time_045537\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\PMOE_FedPer\GM_VGG8\splitgp_rho0.6\NC_50\date_20260622\time_093605\acc.csv
cifar10,PMOE_FedPer,0.8,3,3,101,392.190000,0.000000,196.090000,0.000000,196.090000,0.000000,3.883069,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\PMOE_FedPer\GM_VGG8\splitgp_rho0.8\NC_50\date_20260622\time_044825\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\PMOE_FedPer\GM_VGG8\splitgp_rho0.8\NC_50\date_20260622\time_054838\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\PMOE_FedPer\GM_VGG8\splitgp_rho0.8\NC_50\date_20260622\time_100520\acc.csv
